ParkName;Date;RecreationVisits
Acadia NP;01/07/2017;743529
Acadia NP;01/08/2017;762436
Acadia NP;01/09/2017;595388
Acadia NP;01/10/2017;507594
Acadia NP;01/11/2017;53006
Acadia NP;01/12/2017;12084
Acadia NP;01/01/2018;11974
Acadia NP;01/02/2018;12167
Acadia NP;01/03/2018;23756
Acadia NP;01/04/2018;72858
Acadia NP;01/05/2018;249050
Acadia NP;01/06/2018;499163
Acadia NP;01/07/2018;759165
Acadia NP;01/08/2018;767219
Acadia NP;01/09/2018;600397
Acadia NP;01/10/2018;488204
Acadia NP;01/11/2018;40930
Acadia NP;01/12/2018;12692
Acadia NP;01/01/2019;8532
Acadia NP;01/02/2019;9154
Acadia NP;01/03/2019;20161
Acadia NP;01/04/2019;68046
Acadia NP;01/05/2019;226156
Acadia NP;01/06/2019;490720
Acadia NP;01/07/2019;756439
Acadia NP;01/08/2019;759735
Acadia NP;01/09/2019;603273
Acadia NP;01/10/2019;436194
Acadia NP;01/11/2019;46011
Acadia NP;01/12/2019;12865
Apostle Islands NL;01/01/1979;64
Apostle Islands NL;01/02/1979;76
Apostle Islands NL;01/03/1979;69
Apostle Islands NL;01/04/1979;172
Apostle Islands NL;01/05/1979;5711
Apostle Islands NL;01/06/1979;13614
Apostle Islands NL;01/07/1979;25886
Apostle Islands NL;01/08/1979;17633
Apostle Islands NL;01/09/1979;9366
Apostle Islands NL;01/10/1979;2871
Apostle Islands NL;01/11/1979;40
Apostle Islands NL;01/12/1979;127
Apostle Islands NL;01/01/1980;330
Apostle Islands NL;01/02/1980;60
Apostle Islands NL;01/03/1980;105
Apostle Islands NL;01/04/1980;320
Apostle Islands NL;01/05/1980;5335
Apostle Islands NL;01/06/1980;14232
Apostle Islands NL;01/07/1980;30049
Apostle Islands NL;01/08/1980;22704
Apostle Islands NL;01/09/1980;12207
Apostle Islands NL;01/10/1980;2517
Apostle Islands NL;01/11/1980;431
Apostle Islands NL;01/12/1980;177
Apostle Islands NL;01/01/1981;189
Apostle Islands NL;01/02/1981;155
Apostle Islands NL;01/03/1981;320
Apostle Islands NL;01/04/1981;384
Apostle Islands NL;01/05/1981;6526
Apostle Islands NL;01/06/1981;14919
Apostle Islands NL;01/07/1981;30321
Apostle Islands NL;01/08/1981;29429
Apostle Islands NL;01/09/1981;15082
Apostle Islands NL;01/10/1981;5499
Apostle Islands NL;01/11/1981;961
Apostle Islands NL;01/12/1981;175
Apostle Islands NL;01/01/1982;140
Apostle Islands NL;01/02/1982;298
Apostle Islands NL;01/03/1982;393
Apostle Islands NL;01/04/1982;502
Apostle Islands NL;01/05/1982;7689
Apostle Islands NL;01/06/1982;18572
Apostle Islands NL;01/07/1982;37279
Apostle Islands NL;01/08/1982;36329
Apostle Islands NL;01/09/1982;16716
Apostle Islands NL;01/10/1982;7091
Apostle Islands NL;01/11/1982;558
Apostle Islands NL;01/12/1982;189
Apostle Islands NL;01/01/1983;179
Apostle Islands NL;01/02/1983;174
Apostle Islands NL;01/03/1983;229
Apostle Islands NL;01/04/1983;534
Apostle Islands NL;01/05/1983;6137
Apostle Islands NL;01/06/1983;16566
Apostle Islands NL;01/07/1983;37878
Apostle Islands NL;01/08/1983;38685
Apostle Islands NL;01/09/1983;21499
Apostle Islands NL;01/10/1983;8255
Apostle Islands NL;01/11/1983;676
Apostle Islands NL;01/12/1983;101
Apostle Islands NL;01/01/1984;151
Apostle Islands NL;01/02/1984;276
Apostle Islands NL;01/03/1984;387
Apostle Islands NL;01/04/1984;457
Apostle Islands NL;01/05/1984;5129
Apostle Islands NL;01/06/1984;18148
Apostle Islands NL;01/07/1984;36006
Apostle Islands NL;01/08/1984;42200
Apostle Islands NL;01/09/1984;16212
Apostle Islands NL;01/10/1984;7387
Apostle Islands NL;01/11/1984;832
Apostle Islands NL;01/12/1984;115
Apostle Islands NL;01/01/1985;134
Apostle Islands NL;01/02/1985;262
Apostle Islands NL;01/03/1985;372
Apostle Islands NL;01/04/1985;645
Apostle Islands NL;01/05/1985;3826
Apostle Islands NL;01/06/1985;14087
Apostle Islands NL;01/07/1985;34808
Apostle Islands NL;01/08/1985;42628
Apostle Islands NL;01/09/1985;14579
Apostle Islands NL;01/10/1985;5240
Apostle Islands NL;01/11/1985;677
Apostle Islands NL;01/12/1985;95
Apostle Islands NL;01/01/1986;208
Apostle Islands NL;01/02/1986;291
Apostle Islands NL;01/03/1986;341
Apostle Islands NL;01/04/1986;853
Apostle Islands NL;01/05/1986;4685
Apostle Islands NL;01/06/1986;13775
Apostle Islands NL;01/07/1986;31221
Apostle Islands NL;01/08/1986;43593
Apostle Islands NL;01/09/1986;13414
Apostle Islands NL;01/10/1986;4395
Apostle Islands NL;01/11/1986;606
Apostle Islands NL;01/12/1986;239
Apostle Islands NL;01/01/1987;233
Apostle Islands NL;01/02/1987;218
Apostle Islands NL;01/03/1987;465
Apostle Islands NL;01/04/1987;1577
Apostle Islands NL;01/05/1987;6201
Apostle Islands NL;01/06/1987;18917
Apostle Islands NL;01/07/1987;38448
Apostle Islands NL;01/08/1987;48107
Apostle Islands NL;01/09/1987;19128
Apostle Islands NL;01/10/1987;3229
Apostle Islands NL;01/11/1987;647
Apostle Islands NL;01/12/1987;171
Apostle Islands NL;01/01/1988;165
Apostle Islands NL;01/02/1988;316
Apostle Islands NL;01/03/1988;450
Apostle Islands NL;01/04/1988;644
Apostle Islands NL;01/05/1988;4697
Apostle Islands NL;01/06/1988;15292
Apostle Islands NL;01/07/1988;43374
Apostle Islands NL;01/08/1988;51010
Apostle Islands NL;01/09/1988;18224
Apostle Islands NL;01/10/1988;5034
Apostle Islands NL;01/11/1988;695
Apostle Islands NL;01/12/1988;206
Apostle Islands NL;01/01/1989;122
Apostle Islands NL;01/02/1989;324
Apostle Islands NL;01/03/1989;288
Apostle Islands NL;01/04/1989;348
Apostle Islands NL;01/05/1989;5076
Apostle Islands NL;01/06/1989;17948
Apostle Islands NL;01/07/1989;39633
Apostle Islands NL;01/08/1989;43783
Apostle Islands NL;01/09/1989;20433
Apostle Islands NL;01/10/1989;6257
Apostle Islands NL;01/11/1989;673
Apostle Islands NL;01/12/1989;131
Apostle Islands NL;01/01/1990;236
Apostle Islands NL;01/02/1990;244
Apostle Islands NL;01/03/1990;340
Apostle Islands NL;01/04/1990;1134
Apostle Islands NL;01/05/1990;6361
Apostle Islands NL;01/06/1990;17346
Apostle Islands NL;01/07/1990;41412
Apostle Islands NL;01/08/1990;45765
Apostle Islands NL;01/09/1990;21832
Apostle Islands NL;01/10/1990;5608
Apostle Islands NL;01/11/1990;596
Apostle Islands NL;01/12/1990;106
Apostle Islands NL;01/01/1991;192
Apostle Islands NL;01/02/1991;561
Apostle Islands NL;01/03/1991;447
Apostle Islands NL;01/04/1991;421
Apostle Islands NL;01/05/1991;5397
Apostle Islands NL;01/06/1991;18203
Apostle Islands NL;01/07/1991;41360
Apostle Islands NL;01/08/1991;50750
Apostle Islands NL;01/09/1991;18583
Apostle Islands NL;01/10/1991;4548
Apostle Islands NL;01/11/1991;285
Apostle Islands NL;01/12/1991;291
Apostle Islands NL;01/01/1992;259
Apostle Islands NL;01/02/1992;793
Apostle Islands NL;01/03/1992;567
Apostle Islands NL;01/04/1992;865
Apostle Islands NL;01/05/1992;4969
Apostle Islands NL;01/06/1992;16735
Apostle Islands NL;01/07/1992;31772
Apostle Islands NL;01/08/1992;36842
Apostle Islands NL;01/09/1992;13830
Apostle Islands NL;01/10/1992;5495
Apostle Islands NL;01/11/1992;633
Apostle Islands NL;01/12/1992;346
Apostle Islands NL;01/01/1993;288
Apostle Islands NL;01/02/1993;645
Apostle Islands NL;01/03/1993;624
Apostle Islands NL;01/04/1993;832
Apostle Islands NL;01/05/1993;4880
Apostle Islands NL;01/06/1993;16054
Apostle Islands NL;01/07/1993;35858
Apostle Islands NL;01/08/1993;45304
Apostle Islands NL;01/09/1993;19117
Apostle Islands NL;01/10/1993;5538
Apostle Islands NL;01/11/1993;372
Apostle Islands NL;01/12/1993;281
Apostle Islands NL;01/01/1994;1038
Apostle Islands NL;01/02/1994;1783
Apostle Islands NL;01/03/1994;1010
Apostle Islands NL;01/04/1994;581
Apostle Islands NL;01/05/1994;5869
Apostle Islands NL;01/06/1994;20291
Apostle Islands NL;01/07/1994;44420
Apostle Islands NL;01/08/1994;44197
Apostle Islands NL;01/09/1994;18944
Apostle Islands NL;01/10/1994;6972
Apostle Islands NL;01/11/1994;1650
Apostle Islands NL;01/12/1994;621
Apostle Islands NL;01/01/1995;617
Apostle Islands NL;01/02/1995;1258
Apostle Islands NL;01/03/1995;1540
Apostle Islands NL;01/04/1995;2793
Apostle Islands NL;01/05/1995;6892
Apostle Islands NL;01/06/1995;23579
Apostle Islands NL;01/07/1995;42997
Apostle Islands NL;01/08/1995;54079
Apostle Islands NL;01/09/1995;22697
Apostle Islands NL;01/10/1995;7881
Apostle Islands NL;01/11/1995;1781
Apostle Islands NL;01/12/1995;1795
Apostle Islands NL;01/01/1996;306
Apostle Islands NL;01/02/1996;1820
Apostle Islands NL;01/03/1996;4952
Apostle Islands NL;01/04/1996;1426
Apostle Islands NL;01/05/1996;6375
Apostle Islands NL;01/06/1996;21368
Apostle Islands NL;01/07/1996;40137
Apostle Islands NL;01/08/1996;54527
Apostle Islands NL;01/09/1996;22984
Apostle Islands NL;01/10/1996;9324
Apostle Islands NL;01/11/1996;4748
Apostle Islands NL;01/12/1996;647
Apostle Islands NL;01/01/1997;353
Apostle Islands NL;01/02/1997;3055
Apostle Islands NL;01/03/1997;2212
Apostle Islands NL;01/04/1997;2087
Apostle Islands NL;01/05/1997;7739
Apostle Islands NL;01/06/1997;24394
Apostle Islands NL;01/07/1997;51130
Apostle Islands NL;01/08/1997;55556
Apostle Islands NL;01/09/1997;24701
Apostle Islands NL;01/10/1997;8410
Apostle Islands NL;01/11/1997;1604
Apostle Islands NL;01/12/1997;2395
Apostle Islands NL;01/01/1998;916
Apostle Islands NL;01/02/1998;1972
Apostle Islands NL;01/03/1998;993
Apostle Islands NL;01/04/1998;5633
Apostle Islands NL;01/05/1998;10155
Apostle Islands NL;01/06/1998;24496
Apostle Islands NL;01/07/1998;66275
Apostle Islands NL;01/08/1998;70426
Apostle Islands NL;01/09/1998;40733
Apostle Islands NL;01/10/1998;11426
Apostle Islands NL;01/11/1998;2431
Apostle Islands NL;01/12/1998;1373
Apostle Islands NL;01/01/1999;809
Apostle Islands NL;01/02/1999;949
Apostle Islands NL;01/03/1999;1390
Apostle Islands NL;01/04/1999;5166
Apostle Islands NL;01/05/1999;8188
Apostle Islands NL;01/06/1999;23433
Apostle Islands NL;01/07/1999;56377
Apostle Islands NL;01/08/1999;53189
Apostle Islands NL;01/09/1999;29972
Apostle Islands NL;01/10/1999;10758
Apostle Islands NL;01/11/1999;2055
Apostle Islands NL;01/12/1999;974
Apostle Islands NL;01/01/2000;1169
Apostle Islands NL;01/02/2000;1714
Apostle Islands NL;01/03/2000;1433
Apostle Islands NL;01/04/2000;3546
Apostle Islands NL;01/05/2000;9748
Apostle Islands NL;01/06/2000;24018
Apostle Islands NL;01/07/2000;53212
Apostle Islands NL;01/08/2000;49191
Apostle Islands NL;01/09/2000;24497
Apostle Islands NL;01/10/2000;10298
Apostle Islands NL;01/11/2000;1837
Apostle Islands NL;01/12/2000;1097
Apostle Islands NL;01/01/2001;886
Apostle Islands NL;01/02/2001;2566
Apostle Islands NL;01/03/2001;4369
Apostle Islands NL;01/04/2001;1955
Apostle Islands NL;01/05/2001;7669
Apostle Islands NL;01/06/2001;25104
Apostle Islands NL;01/07/2001;54007
Apostle Islands NL;01/08/2001;52688
Apostle Islands NL;01/09/2001;23756
Apostle Islands NL;01/10/2001;10369
Apostle Islands NL;01/11/2001;1307
Apostle Islands NL;01/12/2001;759
Apostle Islands NL;01/01/2002;1038
Apostle Islands NL;01/02/2002;724
Apostle Islands NL;01/03/2002;824
Apostle Islands NL;01/04/2002;2587
Apostle Islands NL;01/05/2002;9369
Apostle Islands NL;01/06/2002;23701
Apostle Islands NL;01/07/2002;50668
Apostle Islands NL;01/08/2002;53757
Apostle Islands NL;01/09/2002;17775
